 Lat,Lon,Cat-0[Clim],Cat-0[ANLG],Cat-1[Clim],Cat-1[ANLG],Cat-2[Clim],Cat-2[ANLG],Cat-3[Clim],Cat-3[ANLG]
16.4,42.7,0.0043,0.0057,0,0.0001,0,0,,
16.5,42.7,0.0037,0.0053,0,0.0001,0,0,,
16.6,42.7,0.0032,0.0039,0,0.0001,0,0,,
16.7,42.7,0.002,0.0028,0,0.0001,0,0,,
16.8,42.7,0.0016,0.0009,0,0,0,0,,
16.9,42.7,0.0002,0.0003,0,0,0,0,,
12.9,42.8,0.0005,0.0002,0.0002,0,0.0001,0,,
13,42.8,0.001,0.0003,0.0002,0,0.0001,0,,
13.1,42.8,0.0014,0.0006,0.0003,0,0.0001,0,,
13.2,42.8,0.0014,0.0007,0.0002,0,0.0001,0,,
13.3,42.8,0.002,0.0015,0.0002,0.0001,0.0001,0,,
13.4,42.8,0.0022,0.0017,0.0002,0.0001,0.0001,0,,
13.5,42.8,0.0032,0.0021,0.0004,0.0001,0.0001,0,,
13.6,42.8,0.0035,0.0035,0.0001,0.0002,0,0,,
13.7,42.8,0.0034,0.0039,0.0001,0.0002,0,0,,
13.8,42.8,0.004,0.0052,0.0002,0.0004,0.0001,0,,
13.9,42.8,0.0049,0.0058,0.0002,0.0004,0.0001,0,,
14,42.8,0.0057,0.0061,0.0003,0.0004,0.0001,0,,
14.1,42.8,0.0058,0.0068,0.0004,0.0004,0.0001,0,,
14.2,42.8,0.0062,0.0077,0.0004,0.0005,0.0002,0,,
14.3,42.8,0.0072,0.0081,0.0004,0.0003,0.0002,0,,
14.4,42.8,0.0081,0.0095,0.0004,0.0005,0.0002,0,,
14.5,42.8,0.0082,0.0098,0.0004,0.0003,0.0002,0,,
14.6,42.8,0.0094,0.012,0.0004,0.0003,0.0002,0,,
14.7,42.8,0.0104,0.0134,0.0003,0.0002,0.0001,0,,
14.8,42.8,0.0107,0.0154,0.0002,0.0003,0.0001,0,,
14.9,42.8,0.0122,0.0179,0.0002,0.0002,0.0001,0,,
15,42.8,0.013,0.0185,0.0002,0.0002,0.0001,0,,
15.1,42.8,0.0139,0.0206,0.0002,0.0003,0,0,,
15.2,42.8,0.0143,0.0212,0.0002,0.0003,0,0,,
15.3,42.8,0.0161,0.0231,0.0002,0.0004,0,0,,
15.4,42.8,0.0156,0.0237,0.0002,0.0007,0,0.0001,,
15.5,42.8,0.0152,0.0226,0.0003,0.0006,0,0.0001,,
15.6,42.8,0.0145,0.0216,0.0002,0.0007,0,0.0001,,
15.7,42.8,0.014,0.0213,0.0002,0.0007,0,0.0001,,
15.8,42.8,0.0128,0.0189,0.0002,0.0007,0,0.0001,,
15.9,42.8,0.0127,0.0176,0.0001,0.0007,0,0.0001,,
16,42.8,0.0114,0.0161,0.0002,0.0008,0,0.0001,,
16.1,42.8,0.0095,0.0136,0.0001,0.0007,0,0,,
16.2,42.8,0.0079,0.011,0,0.0006,0,0,,
16.3,42.8,0.0069,0.0086,0,0.0004,0,0,,
16.4,42.8,0.0058,0.0075,0,0.0003,0,0,,
16.5,42.8,0.0049,0.0066,0,0.0002,0,0,,
16.6,42.8,0.0038,0.005,0,0.0002,0,0,,
16.7,42.8,0.0029,0.0038,0,0.0001,0,0,,
16.8,42.8,0.0016,0.0017,0,0.0001,0,0,,
16.9,42.8,0.0005,0.0002,0,0,0,0,,
12.7,42.9,0.0001,0.0004,0.0001,0,0,0,,
12.8,42.9,0.0012,0.001,0.0005,0.0002,0.0002,0.0001,,
12.9,42.9,0.0016,0.0011,0.0003,0.0001,0.0001,0.0001,,
13,42.9,0.0021,0.0016,0.0003,0.0001,0.0001,0.0001,,
13.1,42.9,0.0027,0.0019,0.0004,0,0.0001,0,,
13.2,42.9,0.0028,0.0025,0.0004,0.0001,0.0001,0,,
13.3,42.9,0.004,0.0033,0.0005,0.0001,0.0001,0,,
13.4,42.9,0.0045,0.0042,0.0006,0.0002,0.0002,0,,
13.5,42.9,0.0054,0.005,0.0004,0.0002,0.0001,0,,
13.6,42.9,0.0062,0.0063,0.0004,0.0003,0.0001,0,,
13.7,42.9,0.0063,0.0068,0.0002,0.0004,0,0.0001,,
13.8,42.9,0.0063,0.0072,0.0002,0.0005,0.0001,0,,
13.9,42.9,0.007,0.0088,0.0002,0.0006,0.0001,0,,
14,42.9,0.0081,0.01,0.0003,0.0007,0.0001,0,,
14.1,42.9,0.0085,0.0103,0.0004,0.0006,0.0001,0,,
14.2,42.9,0.0097,0.0114,0.0006,0.0006,0.0002,0,,
14.3,42.9,0.0101,0.0131,0.0004,0.0007,0.0002,0,,
14.4,42.9,0.0102,0.0133,0.0005,0.0006,0.0002,0,,
14.5,42.9,0.011,0.0144,0.0006,0.0006,0.0002,0,,
14.6,42.9,0.0122,0.0155,0.0006,0.0004,0.0002,0,,
14.7,42.9,0.0127,0.0171,0.0004,0.0004,0.0001,0,,
14.8,42.9,0.0136,0.0191,0.0003,0.0003,0.0001,0,,
14.9,42.9,0.0143,0.0216,0.0003,0.0002,0.0001,0,,
15,42.9,0.0161,0.0234,0.0003,0.0003,0.0001,0,,
15.1,42.9,0.0165,0.025,0.0002,0.0004,0,0,,
15.2,42.9,0.0175,0.0257,0.0003,0.0003,0,0,,
15.3,42.9,0.0184,0.0281,0.0003,0.0005,0,0.0001,,
15.4,42.9,0.0185,0.029,0.0003,0.0007,0,0.0001,,
15.5,42.9,0.0183,0.0273,0.0003,0.0007,0,0.0001,,
15.6,42.9,0.0177,0.0267,0.0003,0.0009,0,0.0002,,
15.7,42.9,0.0157,0.0241,0.0004,0.0008,0,0.0001,,
15.8,42.9,0.0154,0.0222,0.0003,0.0007,0,0.0001,,
15.9,42.9,0.0143,0.0212,0.0002,0.0009,0,0.0001,,
16,42.9,0.0136,0.0199,0.0002,0.0009,0,0.0001,,
16.1,42.9,0.0122,0.0166,0.0002,0.0007,0,0.0001,,
16.2,42.9,0.01,0.0132,0.0001,0.0006,0,0,,
16.3,42.9,0.0084,0.0111,0.0001,0.0004,0,0,,
16.4,42.9,0.0074,0.0091,0,0.0004,0,0,,
16.5,42.9,0.0061,0.0077,0,0.0002,0,0,,
16.6,42.9,0.0048,0.0063,0,0.0002,0,0,,
16.7,42.9,0.0035,0.0047,0,0.0002,0,0,,
16.8,42.9,0.0021,0.0025,0,0,0,0,,
16.9,42.9,0.0004,0.0004,0,0,0,0,,
12.4,43,0.0001,0.0004,0.0001,0,0,0,,
12.5,43,0.0006,0.0009,0.0002,0.0002,0.0001,0.0001,,
12.6,43,0.0012,0.0013,0.0002,0.0004,0.0001,0.0002,,
12.7,43,0.0015,0.002,0.0003,0.0004,0.0001,0.0002,,
12.8,43,0.0027,0.0026,0.0007,0.0004,0.0002,0.0002,,
12.9,43,0.0035,0.0038,0.0007,0.0004,0.0002,0.0002,,
13,43,0.0049,0.0036,0.0008,0.0004,0.0002,0.0002,,
13.1,43,0.0056,0.0041,0.0009,0.0005,0.0002,0.0002,,
13.2,43,0.0057,0.0048,0.0007,0.0003,0.0002,0.0002,,
13.3,43,0.0064,0.0053,0.0007,0.0004,0.0002,0.0001,,
13.4,43,0.0078,0.0063,0.0007,0.0004,0.0002,0.0001,,
13.5,43,0.009,0.0075,0.0007,0.0005,0.0002,0.0001,,
13.6,43,0.0099,0.0091,0.0006,0.0006,0.0002,0.0001,,
13.7,43,0.0093,0.0099,0.0002,0.0007,0.0001,0.0001,,
13.8,43,0.009,0.0108,0.0002,0.0007,0.0001,0.0001,,
13.9,43,0.0105,0.0119,0.0007,0.0007,0.0001,0.0001,,
14,43,0.0109,0.013,0.0005,0.0009,0.0001,0.0001,,
14.1,43,0.0113,0.0134,0.0007,0.0008,0.0002,0,,
14.2,43,0.0122,0.0148,0.0007,0.0007,0.0002,0,,
14.3,43,0.0129,0.0163,0.0007,0.0007,0.0002,0,,
14.4,43,0.0136,0.0167,0.0007,0.0007,0.0002,0,,
14.5,43,0.0142,0.0183,0.0007,0.0007,0.0002,0,,
14.6,43,0.0149,0.0194,0.0007,0.0006,0.0002,0,,
14.7,43,0.0159,0.0208,0.0007,0.0003,0.0001,0,,
14.8,43,0.0173,0.023,0.0006,0.0006,0.0001,0,,
14.9,43,0.0178,0.0262,0.0006,0.0003,0.0001,0,,
15,43,0.0191,0.0281,0.0006,0.0004,0.0001,0,,
15.1,43,0.0193,0.0297,0.0005,0.0004,0.0001,0,,
15.2,43,0.0204,0.0294,0.0004,0.0005,0,0,,
15.3,43,0.0212,0.0327,0.0005,0.0008,0,0.0002,,
15.4,43,0.0207,0.0331,0.0004,0.001,0,0.0002,,
15.5,43,0.02,0.0325,0.0004,0.0009,0,0.0002,,
15.6,43,0.0198,0.0304,0.0004,0.001,0,0.0002,,
15.7,43,0.0178,0.0281,0.0004,0.0008,0,0.0002,,
15.8,43,0.0175,0.0263,0.0004,0.0009,0,0.0002,,
15.9,43,0.0165,0.0253,0.0002,0.001,0,0.0002,,
16,43,0.0151,0.023,0.0002,0.0009,0,0.0001,,
16.1,43,0.0145,0.0204,0.0002,0.0008,0,0.0001,,
16.2,43,0.0121,0.0158,0.0002,0.0007,0,0,,
16.3,43,0.0103,0.0133,0.0001,0.0005,0,0,,
16.4,43,0.0085,0.0109,0.0001,0.0004,0,0,,
16.5,43,0.0072,0.0095,0,0.0002,0,0,,
16.6,43,0.0062,0.0077,0,0.0002,0,0,,
16.7,43,0.0041,0.0054,0,0.0002,0,0,,
16.8,43,0.0024,0.003,0,0,0,0,,
